UNITID,INSTNM,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,RET_FTL4,RET_PTL4,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,POOR_Prop,Tot_Grant,Avg_Income_Low,Tot_Students,GG_NO_re
175157,Vermilion Community College,12403,9668,9574,12242,14687,14819,0.4888,0.4,14250,158.2042125,0.623582766,0.316218803,31600,0.560747683,0.181818182,1133000,184825,849,0.257434135
240596,Eastern Wyoming College,9812,7220,9113,9985,13006,13006,0.6089,0.2778,10500,116.571525,0.73828125,0.396417136,26200,0.423728824,0.346153846,2435983,247816,2418,0.23011733
180151,Dawson Community College,7878,5891,6420,8157,9695,12238,0.5306,0.875,10000,111.0205,0.765363128,0.605708943,30800,0.465217382,0.347826087,1220625,186042,818,0.186956531
146603,Lewis and Clark Community College,6812,5848,6642,7567,7933,7931,0.6586,0.4675,4925,54.67759625,0.699534884,0.219965313,24900,0.414252162,0.401785714,11408011,152451,11325,0.183962124
240055,University of Wisconsin Colleges,9387,6313,7278,10640,12829,13069,0.5634,0.4242,10847,120.4239364,0.761648413,0.238362525,33000,0.525877774,0.29028133,22036453,246368,18270,0.183840896
200314,Dakota College at Bottineau,9290,7401,7744,8944,11074,12024,0.3521,0.0909,11875,131.8368438,0.768571429,0.375412287,31800,0.550607264,0.267857143,1415233,207715,1007,0.181535593
145521,Highland Community College,5535,4185,4812,7546,10024,10024,0.6139,0.3226,8991.5,99.82408258,0.543424318,0.349120259,25900,0.412698418,0.42295082,3464831,149706,4228,0.164350762
172307,Southwestern Michigan College,9070,7803,8350,10740,12344,12358,0.5569,0.3475,12197,135.4117039,0.385674931,0.225344639,25000,0.341666669,0.495238095,6376823,180110,3648,0.163095236
171234,Montcalm Community College,6950,5325,6161,8900,10239,10357,0.5248,0.4831,11950,132.6694975,0.587563452,0.169147478,27300,0.362378985,0.476190476,4055679,176559,2500,0.161430539
210155,Southwestern Oregon Community College,9214,7366,8223,11153,12610,12070,0.4975,0.3696,12000,133.2246,0.613702624,0.26091236,27600,0.426807761,0.412811388,4516002,217521,2368,0.160380851