University of South Florida,2015,202751.00
American Association of State Colleges and Universities,2015,1500000.00
Drexel University,2015,60000.00
The University of Texas at Austin,2015,2000000.00
"Teachers College, Columbia University",2015,1999522.00
University of Washington Foundation,2015,498232.00
Delaware State University Foundation Inc.,2015,1200000.00
University System of Georgia,2015,1999497.00
University of Illinois at Urbana-Champaign,2015,700000.00
Jackson State University,2015,1200000.00
Claflin University,2015,1200187.00
Fayetteville State University,2015,1199999.00
Association of Public and Land-Grant Universities,2015,4796540.00
Johnson C Smith University Incorporated,2015,1199980.00
"Teachers College, Columbia University",2015,599998.00
University of Washington Foundation,2015,25000.00
"University Enterprises, Inc.",2015,1523052.00
National Louis University,2015,49502.00
Association of Public and Land-Grant Universities,2015,150123.00
University of Wisconsin - Extension,2015,109840.00
Johnson County Community College,2015,300000.00
"University of California, Riverside",2015,300000.00
Research Foundation of State University of New York,2015,1800000.00
Lipscomb University,2015,749894.00
"University System of Georgia Foundation, Inc.",2015,192625.00
National Association of College and University Business Officers,2015,76507.00
American Association of State Colleges and Universities,2015,90000.00
East Bay Community Foundation,2015,70000.00
Vanderbilt University,2015,1799710.00
University of Florida,2015,764553.00
Columbia University,2015,281050.00
The University of the State of New York,2015,369000.00
University of Kentucky Research Foundation,2015,4500000.00
University of Michigan,2015,6858099.00
Texas Tech University,2015,6962397.00
University of Chicago,2015,249997.00
University of California at San Diego,2015,1993497.00
Johns Hopkins University,2015,275000.00
Columbia University,2015,500000.00
University of Washington Foundation,2015,2790000.00
The George Washington University,2015,899785.00
Lipscomb University,2015,749894.00
Stanford University,2015,2500000.00
Harvard University,2015,582554.00
Loyola Marymount University,2015,1195581.00
University of Washington Foundation,2015,250000.00
Harvard University,2015,20000.00
Harvard University,2015,3500000.00
Lumina,,
University of Washington,09/01/2015 through 12/31/2016,327300.00
University of Virginia,09/15/2014 through 09/15/2016,128500.00
University of Illinois at Urbana-Champaign,08/15/2014 through 12/31/2015,34000.00
Vanderbilt University,08/15/2014 through 08/15/2016,316600.00
University of Virginia,05/01/2014 through 12/31/2015,130000.00
Stanford Graduate School of Education,05/01/2014 through 12/31/2015,"Ê$130,000"